Path,Title,Title Len,Title Status,Description,Desc Len,Desc Status,og:image,Robots,Canonical,H1,Issues
/,PPM America | Institutional Asset Manager,41,DUPLICATE,"Our mission is to be seen by clients and their advisors as a consistently reliable partner to help them achieve their long-term value goals.

PPM is a US-based institutional asset manager. Established in Chicago in 1990, PPM offers investment capabilities in public fixed income, commercial real estate debt, private and structured credit, private equity and CLO management. PPM exists to consistently support institutional clients in achieving their long-term value goals. We offer our mentality of hard work, straight talk, full transparency and humility. Our success is supported by a team-based culture that encourages debate, collaboration and consistency. At the center of our belief is the fact that our best ideas to date have and can come from any team member anywhere in our firm. We believe the success of our investment culture is best demonstrated by the strong retention of our clients and investment professionals.",929,TOO LONG,,index,/home,Focused on performance. Dedicated to our clients.,duplicate title (2x); description 929 chars - truncates in SERP; duplicate description; no og:image; canonical points to /home
/home,PPM America | Institutional Asset Manager,41,DUPLICATE,"Our mission is to be seen by clients and their advisors as a consistently reliable partner to help them achieve their long-term value goals.

PPM is a US-based institutional asset manager. Established in Chicago in 1990, PPM offers investment capabilities in public fixed income, commercial real estate debt, private and structured credit, private equity and CLO management. PPM exists to consistently support institutional clients in achieving their long-term value goals. We offer our mentality of hard work, straight talk, full transparency and humility. Our success is supported by a team-based culture that encourages debate, collaboration and consistency. At the center of our belief is the fact that our best ideas to date have and can come from any team member anywhere in our firm. We believe the success of our investment culture is best demonstrated by the strong retention of our clients and investment professionals.",929,TOO LONG,,index,/home,Focused on performance. Dedicated to our clients.,duplicate title (2x); description 929 chars - truncates in SERP; duplicate description; no og:image
/investment-solutions,Investment Solutions | PPM America,34,SHORT,"At PPM, we embrace market inefficiencies and volatility which is important for creating value for clients, with a strategic commitment to a relative value, fundamentals-based investment style. This approach shifts tactically in response to changing relative valuations, market environments and business cycles. In tandem with risk management, our investment team strives to ensure that portfolios are balanced and designed for stable, long-term performance. meta data goes here",477,TOO LONG,,index,/investment-solutions,Investment Solutions,description 477 chars - truncates in SERP; no og:image
/investment-solutions/collateralized-loan-obligations,Collateralized Loan Obligations,31,SHORT,"Collateralized Loan Obligations (CLOs) are structured finance vehicles that pool diversified portfolios of corporate bank loans and issue securities to qualified investors. Collectively, PPM and its affiliates PPM Loan Management Company, LLC (PPMLM) and PPM Loan Management Company 2, LLC (PPMLM2) have served as collateral manager for 14 CLOs since 1999. In this role, PPM is responsible for portfolio construction, ongoing asset management, and the disciplined exit of individual investments. CLOs represent a natural extension of PPM’s long-standing expertise in floating-rate corporate bank loans, leveraging the depth, experience, and scale of its dedicated bank loan investment team. As a well-established and respected participant in the CLO market, PPM’s long-standing relationships across the investment community provide consistent access to market opportunities.",874,TOO LONG,,index,/investment-solutions/collateralized-loan-obligations,Collateralized Loan Obligations,no brand suffix; description 874 chars - truncates in SERP; no og:image
/investment-solutions/commercial-real-estate-debt,Commercial Real Estate Debt,27,SHORT,"Our commercial real estate team was established in 1995 and focuses on commercial mortgage loans, unsecured REIT debt, and other real estate debt investments. Our advantage is highlighted by our experienced senior leadership, strong borrower relationships, a dedicated real estate analytics team, a proactive approach to portfolio surveillance, and an efficient closing process.",378,TOO LONG,,index,/investment-solutions/commercial-real-estate-debt,Commercial Real Estate Debt,no brand suffix; description 378 chars - truncates in SERP; no og:image
/investment-solutions/fixed-income,Public Fixed Income,19,TOO SHORT,"Our first asset class under management, dating back to 1990. Our expertise spans a wide range of strategies including investment grade, high yield and emerging markets.",168,OK,,index,/investment-solutions/fixed-income,Public Fixed Income,title under 20 chars; no brand suffix; no og:image
/investment-solutions/fixed-income/bank-loan,Bank Loan,9,TOO SHORT,Seeks to consistently outperform the Morningstar LSTA US Leveraged Loan Index while maintaining a comparable level of risk,122,SHORT,,,/investment-solutions/fixed-income/bank-loan,Bank Loan,title under 20 chars; no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/core-fixed-income,Core Fixed Income,17,TOO SHORT,Seeks to consistently outperform the Bloomberg US Aggregate Bond Index while maintaining a comparable level of risk,115,SHORT,,,/investment-solutions/fixed-income/core-fixed-income,Core Fixed Income,title under 20 chars; no brand suffix; duplicate description; no og:image; no robots tag
/investment-solutions/fixed-income/core-plus-fixed-income,Core Plus Fixed Income,22,SHORT,Seeks to consistently outperform the Bloomberg US Aggregate Bond Index while maintaining a comparable level of risk,115,SHORT,,,/investment-solutions/fixed-income/core-plus-fixed-income,Core Plus Fixed Income,no brand suffix; duplicate description; no og:image; no robots tag
/investment-solutions/fixed-income/emerging-markets-diversified,Emerging Markets Diversified,28,SHORT,"Seeks to maximize total return and add value through issuer and country selection, sector selection, and macro positioning, while managing risk relative to its benchmark",169,OK,,,/investment-solutions/fixed-income/emerging-markets-diversified,Emerging Markets Diversified,no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/emerging-markets-frontier,Emerging Markets Frontier,25,SHORT,Seeks to maximize total return and add value by employing a bottom-up investment process that applies fundamental research to issuers and countries,147,SHORT,,,/investment-solutions/fixed-income/emerging-markets-frontier,Emerging Markets Frontier,no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/emerging-markets-investment-grade,Emerging Markets Investment Grade,33,SHORT,"Seeks to maximize income generation and total return through issuer and country selection, sector selection, and macro positioning, while managing risk relative to its benchmark",177,TOO LONG,,,/investment-solutions/fixed-income/emerging-markets-investment-grade,Emerging Markets Investment Grade,no brand suffix; description 177 chars - truncates in SERP; no og:image; no robots tag
/investment-solutions/fixed-income/emerging-markets-local-currency-supranational,Emerging Markets Local Currency Supranational,45,SHORT,"Seeks to maximize total return and income through emerging markets (EM) currency selection, rates selection and macro positioning while managing risk to a volatility target",172,TOO LONG,,,/investment-solutions/fixed-income/emerging-markets-local-currency-supranational,Emerging Markets Local Currency Supranational,no brand suffix; description 172 chars - truncates in SERP; no og:image; no robots tag
/investment-solutions/fixed-income/high-yield,High Yield,10,TOO SHORT,Seeks to consistently outperform the ICE BofA US High Yield Constrained Index while maintaining a comparable level of risk,122,SHORT,,,/investment-solutions/fixed-income/high-yield,High Yield,title under 20 chars; no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/intermediate-credit,Intermediate Credit,19,TOO SHORT,Seeks to consistently outperform an intermediate investment grade credit index while maintaining a comparable level of risk,123,SHORT,,,/investment-solutions/fixed-income/intermediate-credit,Intermediate Credit,title under 20 chars; no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/investment-grade-clo-debt,Investment Grade CLO Debt,25,SHORT,Seeks to consistently outperform 3-Month SOFR / LIBOR Index while maintaining a comparable level of risk,104,SHORT,,,/investment-solutions/fixed-income/investment-grade-clo-debt,Investment Grade CLO Debt,no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/investment-grade-credit,Investment Grade Credit,23,SHORT,Seeks to consistently outperform the Bloomberg US Credit Index while maintaining a comparable level of risk,107,SHORT,,,/investment-solutions/fixed-income/investment-grade-credit,Investment Grade Credit,no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/investment-grade-credit-plus,Investment Grade Credit Plus,28,SHORT,Seeks to consistently outperform an investment grade credit index while maintaining a comparable level of risk,110,SHORT,,,/investment-solutions/fixed-income/investment-grade-credit-plus,Investment Grade Credit Plus,no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/investment-grade-public-and-private-credit,Investment Grade Public and Private Credit,42,SHORT,Seeks to consistently outperform the Bloomberg US Corporate Bond Index while maintaining a comparable or lower level of risk,124,SHORT,,,/investment-solutions/fixed-income/investment-grade-public-and-private-credit,Investment Grade Public and Private Credit,no brand suffix; no og:image; no robots tag
/investment-solutions/fixed-income/liability-driven-investing-ldi,Liability Driven Investing (LDI),32,SHORT,"Focuses primarily on sector selection and individual security selection and to a lesser extent, duration and yield curve management",131,SHORT,,,/investment-solutions/fixed-income/liability-driven-investing-ldi,Liability Driven Investing (LDI),no brand suffix; no og:image; no robots tag
/investment-solutions/private-and-structured-credit,Private and Structured Credit,29,SHORT,"Our private debt team was established in 1991, led by a private finance team that expanded into separate asset class teams over time, including bank loans, private equity and structured credit.",193,TOO LONG,,index,/investment-solutions/private-and-structured-credit,Private and Structured Credit,no brand suffix; description 193 chars - truncates in SERP; no og:image
/investment-solutions/private-equity,Private Equity | PPM America Capital Partners,45,SHORT,"PPM America Capital Partners (PPMACP) is a fully integrated private equity platform with more than three decades of institutional investing experience, guided by a core philosophy centered on access, alignment, and disciplined underwriting. The team specializes in primary fund commitments, co-investments, and GP-led secondaries primarily focused on middle market North American buyout and growth equity opportunities, with a consistent track record of disciplined execution across market cycles.",497,TOO LONG,,index,/investment-solutions/private-equity,Private Equity,description 497 chars - truncates in SERP; no og:image
/news-and-insights,News and Insights | PPM America,31,SHORT,We publish a range of research articles and outlooks to help keep you updated on key themes across the financial markets.,121,SHORT,,"index, follow",/news-and-insights,News and Insights,no og:image
